Trade Name,Generic/Proper Name(s),Active Ingredient(s),Cardiotoxicity,Label Section ,DICT _ Concern,Keywords,DIC Severity Level
Risedronate Sodium,RISEDRONATE SODIUM,RISEDRONATE SODIUM MONOHYDRATE,Heart Damage,ar,less,Hypertension,mild
Albendazole,ALBENDAZOLE,ALBENDAZOLE,NA,no,no,,
Indapamide,INDAPAMIDE,INDAPAMIDE,Mixed,ar,less,hypotension/Palpitations,mild
Ezetimibe,EZETIMIBE,EZETIMIBE,NA,no,no,,
Abiraterone Acetate,ABIRATERONE ACETATE,ABIRATERONE ACETATE,Mixed,ar,less,Arrhythmia/Cardiac failure,severe
Claravis,ISOTRETINOIN,ISOTRETINOIN,Arrhythmia,ar,less,tachycardia,mild
Potassium Citrate,POTASSIUM CITRATE,POTASSIUM CITRATE,NA,sp,ambiguous,patient with heart failure,severe
LISINOPRIL,LISINOPRIL,LISINOPRIL,Heart Damage,wp,less,hypotension,mild
Tiagabine Hydrochloride,TIAGABINE,TIAGABINE HYDROCHLORIDE,Mixed,ar,less,myocardial infarct/tachycardia,severe
ERLOTINIB HYDROCHLORIDE,ERLOTINIB HYDROCHLORIDE,ERLOTINIB HYDROCHLORIDE,NA,sp,ambiguous,myocardial infarction/ischemia(with other drugs),
omega-3-acid ethyl esters,OMEGA-3-ACID ETHYL ESTERS,OMEGA-3-ACID ETHYL ESTERS,NA,sp,ambiguous,recurrent AF or flutter,
ropinirole hydrochloride,ROPINIROLE HYDROCHLORIDE,ROPINIROLE HYDROCHLORIDE,Heart Damage,wp,most,pericarditis,severe
Terazosin,TERAZOSIN,TERAZOSIN HYDROCHLORIDE,Heart Damage,wp,less,lowering of blood pressure,mild
frovatriptan succinate,FROVATRIPTAN SUCCINATE,FROVATRIPTAN SUCCINATE,Mixed,wp,most,acute myocardial infarction/Arrhythmias,severe
SILODOSIN,SILODOSIN,SILODOSIN,Heart Damage,wp,less,hypotension,mild
Darifenacin,DARIFENACIN,DARIFENACIN HYDROBROMIDE,Mixed,ar,less,palpitations /hypertension,mild
Dicyclomine hydrochloride,DICYCLOMINE HYDROCHLORIDE,DICYCLOMINE HYDROCHLORIDE,Arrhythmia,ar,less,tachyarrhythmias,mild
CEFDINIR,CEFDINIR,CEFDINIR,Heart Damage,ar,less,cardiac failure,severe
Temazepam,TEMAZEPAM,TEMAZEPAM,Arrhythmia,ar,less,palpitations,mild
Propoxyphene,PROPOXYPHENE HYDROCHLORIDE,PROPOXYPHENE HYDROCHLORIDE,Heart Damage,wp,less,hypotension,mild
moxifloxacin hydrochloride,MOXIFLOXACIN HYDROCHLORIDE,MOXIFLOXACIN HYDROCHLORIDE,Arrhythmia,wp,most,prolong the QT interval,moderate
Oxycodone Hydrochloride,OXYCODONE HYDROCHLORIDE,OXYCODONE HYDROCHLORIDE,Heart Damage,wp,less,hypotension,mild
THEOPHYLLINE,THEOPHYLLINE,THEOPHYLLINE,Arrhythmia,ar,less,cardiac arrhythmias,mild
Phentermine Resin ER,PHENTERMINE RESIN,PHENTERMINE,Mixed,ar,less,regurgitant cardiac valvular disease/tachycardia,severe
SILDENAFIL CITRATE,SILDENAFIL,SILDENAFIL CITRATE,Mixed,ar,less,heart failure/tachycardia,severe
stavudine,STAVUDINE,STAVUDINE,NA,no,no,,
Imipramine Hydrochloride,IMIPRAMINE HYDROCHLORIDE,IMIPRAMINE HYDROCHLORIDE,Mixed,ar,less,myocardial infarction/ arrhythmias,severe
Ranitidine,RANITIDINE,RANITIDINE HYDROCHLORIDE,Arrhythmia,ar,less,tachycardia,mild
Pindolol,PINDOLOL,PINDOLOL,Mixed,ar,less,hypotension/ tachycardia ,mild
Dalfampridine,DALFAMPRIDINE,DALFAMPRIDINE,NA,CLINICAL PHARMACOLOGY,no,not prolong the QTc interval,
Nevirapine,NEVIRAPINE,NEVIRAPINE HEMIHYDRATE,NA,no,no,,
Tizanidine,TIZANIDINE,TIZANIDINE HYDROCHLORIDE,Heart Damage,wp,less,hypotension,mild
POLMON,DEXCHLORPHENIRAMINE MALEATE,DEXCHLORPHENIRAMINE MALEATE,NA,sp,ambiguous,patients with Cardiovascular disease,
Acebutolol Hydrochloride,ACEBUTOLOL HYDROCHLORIDE,ACEBUTOLOL HYDROCHLORIDE,Mixed,ar,less,bradycardia/ heart failure,severe
Trihexyphenidyl Hydrochloride,TRIHEXYPHENIDYL HYDROCHLORIDE,TRIHEXYPHENIDYL HYDROCHLORIDE,Arrhythmia,ar,less,"Paradoxical sinus
bradycardia",mild
simvastatin,SIMVASTATIN,SIMVASTATIN,Arrhythmia,ar,less,Atrial fibrillation,mild
Miglustat,MIGLUSTAT,MIGLUSTAT,NA,no,no,,
Ranolazine,RANOLAZINE,RANOLAZINE,Arrhythmia,wp,most,prolongs the QTc interval,moderate
Bexarotene,BEXAROTENE,BEXAROTENE,Mixed,ar,less,right heart failure/tachycardi,severe
Ticlopidine Hydrochloride,TICLOPIDINE HYDROCHLORIDE,TICLOPIDINE HYDROCHLORIDE,NA,no,no,,
Bicalutamide,BICALUTAMIDE,BICALUTAMIDE,Mixed,ar,less,Congestive Heart Failure/Heart Arrest,severe
Atorvastatin calcium,ATORVASTATIN CALCIUM,ATORVASTATIN,NA,no,no,,
Mirtazapine,MIRTAZAPINE,MIRTAZAPINE,Arrhythmia,wp,most,prolongation of the QTc interval,moderate
Sevelamer Carbonate,SEVELAMER CARBONATE,SEVELAMER CARBONATE,NA,no,no,,
Chlorpromazine Hydrochloride,CHLORPROMAZINE HYDROCHLORIDE,CHLORPROMAZINE HYDROCHLORIDE,Mixed,ar,less,hypotension/tachycardia,mild
Lactulose,LACTULOSE,LACTULOSE,NA,no,no,,
Naproxen Sodium,NAPROXEN SODIUM,NAPROXEN SODIUM,Heart Damage,bw,most,myocardial infarction ,severe
Norethindrone Acetate,NORETHINDRONE,NORETHINDRONE ACETATE,NA,sp,ambiguous,Patients with risk factors for arterial vascular disease,
Prednisolone,PREDNISOLONE,PREDNISOLONE,Heart Damage,wp,less,elevation of blood pressure,mild
Tramadol Hydrochloride,TRAMADOL HYDROCHLORIDE,TRAMADOL HYDROCHLORIDE,Heart Damage,wp,less,Hypotension,mild
Lovastatin,LOVASTATIN,LOVASTATIN,NA,no,no,,
Androxy,FLUOXYMESTERONE,fluoxymesterone,NA,sp,ambiguous,patients with a history of myocardial infarction,
Rivastigmine Tartrate,RIVASTIGMINE TARTRATE,RIVASTIGMINE TARTRATE,Arrhythmia,ar,less,Tachycardia,mild
Meprobamate,MEPROBAMATE,MEPROBAMATE,Mixed,ar,less, tachycardia/ hypotensive crisis,mild
Captopril,CAPTOPRIL,CAPTOPRIL,Heart Damage,wp,less,hypotension,mild
FLAVOXATE HYDROCHLORIDE,FLAVOXATE HYDROCHLORIDE,FLAVOXATE HYDROCHLORIDE,Arrhythmia,ar,less,Tachycardia,mild
Methamphetamine Hydrochloride,METHAMPHETAMINE HYDROCHLORIDE,METHAMPHETAMINE HYDROCHLORIDE,Mixed,bw,most,SUDDEN DEATH/myocardial infarction/increase in heart rate,severe
Cefixime,CEFIXIME,CEFIXIME,NA,no,no,,
Seromycin,CYCLOSERINE,CYCLOSERINE,Heart Damage,ar,less,congestive heart failure ,severe
Meclofenamate Sodium,MECLOFENAMATE SODIUM,MECLOFENAMATE SODIUM,Heart Damage,bw,most,myocardial infarction,severe
Folic acid,FOLIC ACID,FOLIC ACID,NA,no,no,,
Nitrofurantoin,NITROFURANTOIN,NITROFURANTOIN,Arrhythmia,ar,less,Changes in EKG,mild
mycophenolate mofetil,MYCOPHENOLATE MOFETIL,MYCOPHENOLATE MOFETIL,Mixed,ar,less,Tachycardia/Hypertension,mild
ketoprofen,KETOPROFEN,KETOPROFEN,Heart Damage,bw,most,myocardial infarction,severe
Duloxetine,DULOXETINE,DULOXETINE HYDROCHLORIDE,Heart Damage,wp,less,Increases in Blood Pressure,mild
Ramelteon,RAMELTEON,RAMELTEON,NA,no,no,,
Fluconazole,FLUCONAZOLE,FLUCONAZOLE,Arrhythmia,wp,most,"prolongation of the QT
interval",moderate
CYCLOPHOSPHAMIDE,CYCLOPHOSPHAMIDE,CYCLOPHOSPHAMIDE,Mixed,wp,most,congestive heart failure/arrythmias,severe
Imatinib Mesylate,IMATINIB MESYLATE,IMATINIB MESYLATE,Heart Damage,wp,most,Congestive Heart Failure/left ventricular dysfunction,severe
Ivermectin,IVERMECTIN,IVERMECTIN,Mixed,ar,less,hypotension /Tachycardia,mild
Ranitidine,RANITIDINE,RANITIDINE,Arrhythmia,ar,less,"tachycardia,bradycardia",mild
Cortisone Acetate,CORTISONE ACETATE,CORTISONE ACETATE,Heart Damage,wp,less,elevation of blood pressure,mild
Amlodipine Besylate,AMLODIPINE BESYLATE,AMLODIPINE BESYLATE,Heart Damage,wp,most,acute myocardial infarction,severe
Paromomycin Sulfate,PAROMOMYCIN SULFATE,PAROMOMYCIN SULFATE,NA,no,no,,
Rosuvastatin Calcium,ROSUVASTATIN CALCIUM,ROSUVASTATIN CALCIUM,NA,no,no,,
Paliperidone,PALIPERIDONE,PALIPERIDONE,Arrhythmia,wp,most,QT Prolongation,moderate
Aripiprazole,ARIPIPRAZOLE,ARIPIPRAZOLE,Heart Damage,wp,less,orthostatic hypotension,mild
Varenicline,VARENICLINE TARTRATE,VARENICLINE TARTRATE,Mixed,ar,less,myocardial infarction/tachycardia,severe
Valsartan,VALSARTAN,VALSARTAN,Heart Damage,wp,less,hypotension,mild
Amoxicillin,AMOXICILLIN,AMOXICILLIN,NA,no,no,,
Cimetidine,CIMETIDINE,CIMETIDINE,Arrhythmia,ar,less,tachycardia,mild
Dexamethasone,DEXAMETHASONE,DEXAMETHASONE,Heart Damage,wp,less,elevation of blood pressure,mild
Amiloride Hydrochloride,AMILORIDE HYDROCHLORIDE,AMILORIDE HYDROCHLORIDE ANHYDROUS,Mixed,ar,less,Angina pectoris/Arrhythmia,moderate
Furosemide,FUROSEMIDE,FUROSEMIDE,Heart Damage,ar,less,hypotension,mild
LETROZOLE,LETROZOLE,LETROZOLE,Heart Damage,ar,less,Myocardial infarction,severe
Riluzole,RILUZOLE,RILUZOLE,Heart Damage,ar,less,hypertention,mild
Dronabinol,DRONABINOL,Dronabinol,Mixed,ar,less,tachycardia/hypotension,mild
Oxandrolone,OXANDROLONE,OXANDROLONE,NA,no,no,,
FOSFOMYCIN TROMETHAMINE,FOSFOMYCIN TROMETHAMINE,FOSFOMYCIN TROMETHAMINE,NA,no,no,,
Tamoxifen Citrate,TAMOXIFEN CITRATE,TAMOXIFEN CITRATE,Heart Damage,ar,less,Hypertension,mild
Venlafaxine Hydrochloride,VENLAFAXINE HYDROCHLORIDE,VENLAFAXINE HYDROCHLORIDE,Heart Damage,wp,less,hypertension ,mild
Diflunisal,DIFLUNISAL,DIFLUNISAL,Heart Damage,bw,most,myocardial infarction,severe
Loratadine,LORATADINE,LORATADINE,NA,no,no,,
Metformin Hydrochloride,METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE,Mixed,bw,most,resistant bradyarrhythmias/hypotension,mild
Loperamide Hydrochloride,LOPERAMIDE HYDROCHLORIDE,LOPERAMIDE HYDROCHLORIDE,Arrhythmia,bw,most,Torsades de Pointes,severe
Eulexin,FLUTAMIDE,FLUTAMIDE,Heart Damage,ar,less,hypertension ,mild
Hydroxyzine hydrochloride,HYDROXYZINE HYDROCHLORIDE,HYDROXYZINE DIHYDROCHLORIDE,Arrhythmia,wp,most,QT Prolongation/Torsade de Pointes (TdP),severe
Lubiprostone,LUBIPROSTONE,LUBIPROSTONE,Heart Damage,wp,less,hypotension ,mild
Flurazepam Hydrochloride,FLURAZEPAM HYDROCHLORIDE,FLURAZEPAM HYDROCHLORIDE,Mixed,ar,less,palpitations/ chest pains,mild
Alfuzosin Hydrochloride,ALFUZOSIN HYDROCHLORIDE,ALFUZOSIN HYDROCHLORIDE,Heart Damage,wp,less,hypotension,mild
Tadalafil,TADALAFIL,TADALAFIL,Mixed,ar,less,angina pectoris/tachycardia,moderate
Digoxin,DIGOXIN,DIGOXIN,Arrhythmia,wp,most, third degree heart block,moderate
Thiothixene,THIOTHIXENE,THIOTHIXENE,Mixed,ar,less,Tachycardia/hypotension,mild
Ursodiol,URSODIOL,URSODIOL,NA,no,no,,
Propylthiouracil,PROPYLTHIOURACIL,PROPYLTHIOURACIL,NA,no,no,,
Vancomycin Hydrochloride,VANCOMYCIN HYDROCHLORIDE,vancomycin hydrochloride,NA,no,no,,
Selegiline Hydrochloride,SELEGILINE HYDROCHLORIDE,SELEGILINE HYDROCHLORIDE,Mixed,ar,less,"arrhythmia/new or increased angina
pectoris",mild
Trifluoperazine Hydrochloride,TRIFLUOPERAZINE HYDROCHLORIDE,TRIFLUOPERAZINE HYDROCHLORIDE,Arrhythmia,ar,less,EKG changes,mild
olmesartan medoxomil,OLMESARTAN MEDOXOMIL,OLMESARTAN MEDOXOMIL,NA,sp,ambiguous,Hypotension,mild
GLIMEPIRIDE,GLIMEPIRIDE,GLIMEPIRIDE,NA,sp,ambiguous,Increased Risk of cardiovascular mortality,severe
Oxazepam,OXAZEPAM,OXAZEPAM,NA,sp,ambiguous,patients in whom a drop in blood pressure,
Levofloxacin,LEVOFLOXACIN,LEVOFLOXACIN,Arrhythmia,wp,most,Prolongation of the QT interval,moderate
Trazodone Hydrochloride,TRAZODONE HYDROCHLORIDE,TRAZODONE HYDROCHLORIDE,Mixed,wp,most,prolongs the QT/QTc interval/Hypotension,moderate
Cefdinir,CEFDINIR,CEFDINIR MONOHYDRATE,Heart Damage,ar,less,cardiac failure,severe
Chloroquine Phosphate,CHLOROQUINE PHOSPHATE,CHLOROQUINE PHOSPHATE,Mixed,wp,most,"cardiomyopathy/QT interval
prolongation",severe
Amphetamine Sulfate,AMPHETAMINE SULFATE,AMPHETAMINE SULFATE,Mixed,bw,most,SUDDEN DEATH/myocardial infarction/increase in heart rate,severe
gabapentin,GABAPENTIN,GABAPENTIN,NA,sp,ambiguous,hypotension(Anaphylaxis and Angioedema),mild
Tizanidine Hydrochloride,TIZANIDINE HYDROCHLORIDE,Tizanidine,Heart Damage,wp,less,hypotension,mild
Cefaclor,CEFACLOR,CEFACLOR,NA,sp,ambiguous,hypersensitivity reactions: hypotension,
Eplerenone,EPLERENONE,EPLERENONE,Heart Damage,ar,less,angina pectoris/MI,severe
Phendimetrazine Tartrate,PHENDIMETRAZINE TARTRATE,PHENDIMETRAZINE TARTRATE,Mixed,ar,less,tachycardia/ ischemic events,severe
Propafenone,PROPAFENONE HYDROCHLORIDE,PROPAFENONE,Mixed,wp,most, Conges tive Heart Failure/Torsade de Pointes,severe
PANTOPRAZOLE SODIUM,PANTOPRAZOLE,PANTOPRAZOLE SODIUM,NA,no,no,,
CAPECITABINE,CAPECITABINE,CAPECITABINE,Mixed,wp,most,myocardial infarction/dysrhythmias,severe
Alvimopan,ALVIMOPAN,ALVIMOPAN,Heart Damage,bw,most,myocardial infarction,severe
Paricalcitol,PARICALCITOL,PARICALCITOL,Heart Damage,ar,less,Hypertension,mild
Repaglinide,REPAGLINIDE,REPAGLINIDE,Heart Damage,ar,less,ischemia,severe
Potassium Chloride,POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,NA,sp,ambiguous,cardiac arrest (patients with impaired mechanisms for excreting potassium),severe
Cetirizine Hydrochloride,CETIRIZINE HYDROCHLORIDE,CETIRIZINE HYDROCHLORIDE,Mixed,ar,less,cardiac failure/tachycardia,severe
PRAZIQUANTEL,PRAZIQUANTEL,PRAZIQUANTEL,Arrhythmia,wp,most,ventricular fibrillation,moderate
divalproex sodium,DIVALPROEX SODIUM,DIVALPROEX SODIUM,Mixed,ar,less,Tachycardia/ hypertension,mild
Clorazepate Dipotassium,CLORAZEPATE DIPOTASSIUM,CLORAZEPATE DIPOTASSIUM,NA,no,no,,
Allopurinol,ALLOPURINOL,ALLOPURINOL,Mixed,ar,less,Pericarditis/bradycardia,severe
Phenytoin,PHENYTOIN,PHENYTOIN,Arrhythmia,wp,most,cardiac arrest,severe
Warfarin Sodium,WARFARIN SODIUM,WARFARIN SODIUM,NA,no,no,,
valproic acid,VALPROIC ACID,VALPROIC ACID,Mixed,ar,less,Tachycardia/hypertension,mild
MEXILETINE HYDROCHLORIDE,MEXILETINE HYDROCHLORIDE,MEXILETINE HYDROCHLORIDE,Arrhythmia,bw,most,cardiac arrest,severe
Mefloquine Hydrochloride,MEFLOQUINE HYDROCHLORIDE,MEFLOQUINE HYDROCHLORIDE,Arrhythmia,wp,most, prolongation of the QTc interval,moderate
Oxymorphone hydrochloride,OXYMORPHONE HYDROCHLORIDE,OXYMORPHONE HYDROCHLORIDE,Heart Damage,wp,less,hypotension,mild
Levonorgestrel,LEVONORGESTREL,LEVONORGESTREL,NA,no,no,,
Escitalopram,ESCITALOPRAM,ESCITALOPRAM OXALATE,Mixed,ar,less,cardiac failure/ventricular arrhythmia,severe
Tolterodine Tartrate,TOLTERODINE TARTRATE,TOLTERODINE TARTRATE,Arrhythmia,ar,less,Tachycardia,mild
cephalexin,CEPHALEXIN,CEPHALEXIN ANHYDROUS,NA,no,no,,
ETHOSUXIMIDE,ETHOSUXIMIDE,ETHOSUXIMIDE,NA,no,no,,
Famotidine,FAMOTIDINE,FAMOTIDINE,Arrhythmia,ar,less,Prolonged QT interval,moderate
Clonazepam,CLONAZEPAM,CLONAZEPAM,Mixed,ar,less,Palpitations/chest pain,mild
BENZONATATE,BENZONATATE,BENZONATATE,NA,no,no,,
Vardenafil Hydrochloride,VARDENAFIL HYDROCHLORIDE,VARDENAFIL HYDROCHLORIDE,Arrhythmia,wp,most,increases in QTc interval,moderate
Fluvoxamine Maleate,FLUVOXAMINE MALEATE,FLUVOXAMINE MALEATE,Arrhythmia,ar,less,ventricular tachycardia,mild
Carglumic Acid,CARGLUMIC ACID,CARGLUMIC ACID,NA,CLINICAL PHARMACOLOGY,no,lack of clinically relevant QT prolongation effect,
Flurbiprofen,FLURBIPROFEN,FLURBIPROFEN,Heart Damage,bw,most,myocardial infarction,severe
Azithromycin,AZITHROMYCIN,AZITHROMYCIN DIHYDRATE,Arrhythmia,wp,most,QT Prolongation,moderate
Paser,AMINOSALICYLIC ACID,AMINOSALICYLIC ACID,Heart Damage,ar,less,pericarditis,severe
Midodrine Hydrochloride,MIDODRINE HYDROCHLORIDE,MIDODRINE HYDROCHLORIDE,Heart Damage,bw,most,"marked elevation
of supine blood pressure",mild
Entecavir,ENTECAVIR,ENTECAVIR,NA,no,no,,
MINOXIDIL,MINOXIDIL,MINOXIDIL,Heart Damage,bw,most,myocardial lesions,severe
Acamprosate Calcium,ACAMPROSATE CALCIUM,ACAMPROSATE CALCIUM,Mixed,ar,less,heart failure/tachycardia,severe
Naproxen,NAPROXEN,NAPROXEN,Heart Damage,bw,most,myocardial infarction,severe
Atomoxetine Hydrochloride,ATOMOXETINE HYDROCHLORIDE,ATOMOXETINE HYDROCHLORIDE,Mixed,wp,most,SUDDEN DEATH/myocardial infarction/increase in heart rate,severe
Nimodipine,NIMODIPINE,NIMODIPINE,Arrhythmia,ar,less,palpitations,severe
Finasteride,FINASTERIDE,FINASTERIDE,Heart Damage,ar,less,Hypotension,mild
Methyldopa,METHYLDOPA,METHYLDOPA,Mixed,ar,less,congestive heart failure,severe
PREGABALIN,PREGABALIN,PREGABALIN,Arrhythmia,wp,most,PR interval prolongation,moderate
Methimazole,METHIMAZOLE,METHIMAZOLE,NA,no,no,,
Atenolol,ATENOLOL,ATENOLOL,Heart Damage,wp,most,cardiac failure,severe
Thioridazine Hydrochloride,THIORIDAZINE HYDROCHLORIDE,THIORIDAZINE HYDROCHLORIDE,Arrhythmia,bw,most,prolong the QTc interval,severe
Cefprozil,CEFPROZIL,CEFPROZIL,NA,no,no,,
ESTRADIOL,ESTRADIOL,ESTRADIOL,Heart Damage,bw,most,myocardial infarction,severe
Mesalamine,MESALAMINE,MESALAMINE,NA,sp,ambiguous,Hypersensitivity Reactions:myocarditis,severe
Valganciclovir,VALGANCICLOVIR,VALGANCICLOVIR HYDROCHLORIDE,Mixed,ar,less,arrhythmia/hypotension,mild
ATAZANAVIR,ATAZANAVIR,ATAZANAVIR SULFATE,Arrhythmia,wp,most,prolong the PR interval,moderate
Dicloxacillin Sodium,DICLOXACILLIN SODIUM,DICLOXACILLIN SODIUM,NA,sp,ambiguous,patients with cardiospasm,moderate
Progesterone,PROGESTERONE,PROGESTERONE,Heart Damage,bw,most, myocardial infarction,severe
Raloxifene Hydrochloride,RALOXIFENE HYDROCHLORIDE,RALOXIFENE HYDROCHLORIDE,NA,sp,ambiguous,"death due to stroke women
with documented coronary heart disease",severe
Ketorolac Tromethamine,KETOROLAC TROMETHAMINE,KETOROLAC TROMETHAMINE,Heart Damage,bw,most, myocardial infarction,severe
Fenofibric acid,FENOFIBRIC ACID,CHOLINE FENOFIBRATE,NA,no,no,coronary heart disease( not been established),
Ciprofloxacin,CIPROFLOXACIN,CIPROFLOXACIN HYDROCHLORIDE,Arrhythmia,wp,most,prolongation of the QT interval,moderate
Zidovudine,ZIDOVUDINE,ZIDOVUDINE,Mixed,ar,less,ECG abnormality/ left ventricular dilation,severe
METHYLPHENIDATE HYDROCHLORIDE,METHYLPHENIDATE HYDROCHLORIDE,METHYLPHENIDATE HYDROCHLORIDE,Mixed,wp,most,myocardial infarction/Heart Rate Increases,severe
Cholestyramine,CHOLESTYRAMINE,Cholestyramine,NA,no,no,,
Ondansetron,ONDANSETRON,ONDANSETRON,Mixed,wp,most,Myocardial ischemia/QT interval prolongation ,severe
Oseltamivir phosphate,OSELTAMIVIR PHOSPHATE,OSELTAMIVIR PHOSPHATE,Arrhythmia,ar,less,Arrhythmia,mild
Entacapone,ENTACAPONE,ENTACAPONE,NA,sp,ambiguous,"Ventricular tachycardia  in an
interaction study ",moderate
Ribavirin,RIBAVIRIN,RIBAVIRIN,NA,sp,ambiguous," myocardial infarctions in patients with anemia
caused  by ribavirin",severe
Vecamyl,MECAMYLAMINE HYDROCHLORIDE,MECAMYLAMINE HYDROCHLORIDE,Heart Damage,ar,less, postural hypotension,mild
Lanthanum carbonate,LANTHANUM CARBONATE,LANTHANUM CARBONATE,NA,no,no,,
Atorvastatin calcium,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM TRIHYDRATE,NA,no,no,,
Zonisamide,ZONISAMIDE,ZONISAMIDE,Mixed,ar,less,tachycardia/ heart failure,mild
Levetiracetam,LEVETIRACETAM,LEVETIRACETAM,Heart Damage,ar,less,increased diastolic blood pressure,mild
Protriptyline hydrochloride,PROTRIPTYLINE HYDROCHLORIDE,PROTRIPTYLINE HYDROCHLORIDE,Mixed,ar,less,tachycardia/hypotension,mild
BENZPHETAMINE HYDROCHLORIDE,BENZPHETAMINE HYDROCHLORIDE,BENZPHETAMINE HYDROCHLORIDE,Mixed,ar,less,tachycardia/elevated blood pressure,severe
Nateglinide,NATEGLINIDE,NATEGLINIDE,NA,no,no,,
Phenytek,EXTENDED PHENYTOIN SODIUM; PHENYTOIN SODIUM,PHENYTOIN SODIUM,Arrhythmia,wp,most,cardiac arrest ,severe
Rosuvastatin,ROSUVASTATIN,ROSUVASTATIN,NA,no,no,,
Eletriptan Hydrobromide,ELETRIPTAN HYDROBROMIDE,ELETRIPTAN HYDROBROMIDE MONOHYDRATE,Mixed,wp,most,myocardial infarction/ventricular tachycardia,severe
Sulfasalazine,SULFASALAZINE,SULFASALAZINE,Heart Damage,ar,less,myocarditis,severe
DOXEPIN HYDROCHLORIDE,DOXEPIN HYDROCHLORIDE,DOXEPIN HYDROCHLORIDE,Mixed,ar,less,tachycardia/hypertension  ,mild
Losartan Potassium,LOSARTAN POTASSIUM,LOSARTAN POTASSIUM,Arrhythmia,ar,less,Palpitations,mild
Donepezil Hydrochloride,DONEPEZIL HYDROCHLORIDE,DONEPEZIL HYDROCHLORIDE,Arrhythmia,wp,less,bradycardia or heart block,mild
Pravastatin Sodium,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM,Heart Damage,ar,less ,Angina Pectoris,moderate
Sildenafil,SILDENAFIL,SILDENAFIL,Heart Damage,wp,less,Hypotension,mild
Rabeprazole sodium,RABEPRAZOLE SODIUM,RABEPRAZOLE SODIUM,NA,CLINICAL PHARMACOLOGY,no,no systemic effects ,
Methotrexate Sodium,METHOTREXATE SODIUM,METHOTREXATE SODIUM,Heart Damage,ar,less,pericarditis,severe
PAROXETINE,PAROXETINE HYDROCHLORIDE,PAROXETINE HYDROCHLORIDE ANHYDROUS,Mixed,ar,less,myocardial infarct/tachycardia,mild
Pramipexole Dihydrochloride,PRAMIPEXOLE DIHYDROCHLORIDE,PRAMIPEXOLE DIHYDROCHLORIDE,Heart Damage,wp,less,hypotension,mild
Ursodiol,URSOSIOL,URSADIOL,NA,no,no,,
MENEST,ESTERIFIED ESTROGENS,"ESTROGENS, ESTERIFIED",Heart Damage,bw,most,myocardial infarction,severe
Estazolam,ESTAZOLAM,ESTAZOLAM,Arrhythmia,ar,less,palpitation,mild
esomeprazole magnesium,ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM DIHYDRATE,Mixed,ar,less,tachycardia/hypertension,mild
Mefenamic Acid,MEFENAMIC ACID,MEFENAMIC ACID,Heart Damage,bw,most,fatal,severe
Propafenone Hydrochloride,PROPAFENONE HYDROCHLORIDE,PROPAFENONE HYDROCHLORIDE,Mixed,bw,most,cardiac arrest/heart failure,severe
CARBAMAZEPINE,CARBAMAZEPINE,CARBAMAZEPINE,Arrhythmia,wp,most,third-degree AV  block,moderate
QUINAPRIL,QUINAPRIL,QUINAPRIL HYDROCHLORIDE,NA,sp,ambiguous,"myocardial infarction( patients with
CHF or hypertension)",severe
Ultramicrosize Griseofulvin,ULTRAMICROSIZE GRISEOFULVIN,GRISEOFULVIN,NA,no,no,,
Mifepristone,MIFEPRISTONE,MIFEPRISTONE,Mixed,ar,less,tachycardia/hypotension,mild
Guanfacine Extended-Release,GUANFACINE,GUANFACINE,Mixed,wp,less,decreases in blood pressure/heart rate,mild
Itraconazole,ITRACONAZOLE,ITRACONAZOLE,Mixed,ar,less,left ventricular failure/tachycardia,severe
Anastrozole,ANASTROZOLE,ANASTROZOLE,Heart Damage,ar,less,angina pectoris ,moderate
Cyproheptadine Hydrochloride,CYPROHEPTADINE HYDROCHLORIDE,CYPROHEPTADINE,Mixed,ar,less,tachycardia/Hypotension,mild
Alendronate,ALENDRONATE SODIUM,ALENDRONATE SODIUM,NA,no,no,,
CEFPODOXIME PROXETIL,CEFPODOXIME PROXETIL,CEFPODOXIME PROXETIL,Mixed,ar,less,congestive heart failure/palpitations,severe
Lamivudine,LAMIVUDINE,LAMIVUDINE,NA,no,no,,
Quetiapine Fumarate,QUETIAPINE FUMARATE,QUETIAPINE FUMARATE,Mixed,wp,less,tachycardia/hypotension ,mild
FEXOFENADINE HYDROCHLORIDE,FEXOFENADINE HYDROCHLORIDE,FEXOFENADINE HYDROCHLORIDE,NA,no,no,,
Clobazam,CLOBAZAM,CLOBAZAM,NA,CLINICAL PHARMACOLOGY,no, not prolong the QTc interval ,
Etodolac,ETODOLAC,ETODOLAC,Heart Damage,bw,most,myocardial infarction,severe
Clomipramine Hydrochloride,CLOMIPRAMINE HYDROCHLORIDE CAPSULES,CLOMIPRAMINE HYDROCHLORIDE,Arrhythmia,wp,less,modest tachycardia,mild
Pyrazinamide,PYRAZINAMIDE,PYRAZINAMIDE,NA,no,no,,
Zolmitriptan,ZOLMITRIPTAN,ZOLMITRIPTAN,Mixed,wp,most,acute myocardial infarction/Arrhythmias,severe
