Trade Name,Generic/Proper Name(s),Active Ingredient(s),DICT _ Concern,INPUT,SMILES
rifadin iv novaplus,rifampin,rifampin,ambiguous,rifampin,CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C2=C(C(O)=C3C)C(O)=C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C(\C=N\N1CCN(C)CC1)=C2O
ephedrine sulfate,ephedrine sulfate,ephedrine sulfate,less,ephedrine sulfate,OS(O)(=O)=O.CN[C@@H](C)[C@H](O)C1=CC=CC=C1.CN[C@@H](C)[C@H](O)C1=CC=CC=C1
ethamolin,ethanolamine oleate,ethanolamine oleate,ambiguous,ethanolamine oleate,CCCCCCCC\C=C/CCCCCCCC(=O)OCCN
fetroja,cefiderocol sulfate tosylate,cefiderocol sulfate tosylate,less,cefiderocol sulfate tosylate,[O-]S([O-])(=O)=O.CC1=CC=C(C=C1)S([O-])(=O)=O.[H][C@]12SCC(C[N+]3(CCNC(=O)C4=C(Cl)C(O)=C(O)C=C4)CCCC3)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC(C)(C)C(O)=O)\C1=CSC(N)=N1)C(O)=O.[H][C@]12SCC(C[N+]3(CCNC(=O)C4=C(Cl)C(O)=C(O)C=C4)CCCC3)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC(C)(C)C(O)=O)\C1=CSC(N)=N1)C(O)=O.[H][C@]12SCC(C[N+]3(CCNC(=O)C4=C(Cl)C(O)=C(O)C=C4)CCCC3)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC(C)(C)C(O)=O)\C1=CSC(N)=N1)C(O)=O
neuraceq,florbetaben f 18,florbetaben f-18,no,florbetaben f-18,CNC1=CC=C(\C=C\C2=CC=C(OCCOCCOCC[18F])C=C2)C=C1
cerianna,fluoroestradiol f 18,fluoroestradiol f-18,no,fluoroestradiol f-18,[H][C@@]12C[C@@H]([18F])[C@H](O)[C@@]1(C)CC[C@]1([H])C3=CC=C(O)C=C3CC[C@@]21[H]
tauvid,flortaucipir f-18,flortaucipir f-18,no,flortaucipir f-18,[18F]C1=NC=C(C=C1)C1=CC2=C(C=C1)C1=C(N2)C=CN=C1
radicava,edaravone,edaravone,ambiguous,edaravone,CC1=NN(C(=O)C1)C1=CC=CC=C1
zulresso,brexanolone,brexanolone,less,brexanolone,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](O)CC[C@]12C
copper,cupric chloride,cupric chloride,no,cupric chloride,[Cl-].[Cl-].[Cu++]
xofigo,radium ra 223 dichloride,radium ra-223 dichloride,no,radium ra-223 dichloride,[Cl-].[Cl-].[223Ra++]
magnevist,gadopentetate dimeglumine,gadopentetate dimeglumine,less,gadopentetate dimeglumine,[Gd+3].CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.OC(=O)CN(CCN(CCN(CC(O)=O)CC([O-])=O)CC([O-])=O)CC([O-])=O
rapivab,peramivir,peramivir,no,peramivir,CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](O)[C@H](C[C@H]1N=C(N)N)C(O)=O
manganese,manganese chloride,manganese chloride,no,manganese chloride,[Cl-].[Cl-].[Mn++]
azedra,iobenguane i-131,iobenguane i-131,less,iobenguane i-131,NC(=N)NCC1=CC([131I])=CC=C1
cyanokit,hydroxocobalamin,hydroxocobalamin,less,hydroxocobalamin,[OH-].[Co+3].CC(CNC(=O)CCC1(C)C(CC(N)=O)C2[N-]C1=C(C)C1=N\C(=C/C3=N/C(=C(C)\C4=NC2(C)C(C)(CC(N)=O)C4CCC(N)=O)/C(C)(CC(N)=O)C3CCC(N)=O)C(C)(C)C1CCC(N)=O)OP([O-])(=O)OC1C(CO)OC(C1O)N1C=NC2=CC(C)=C(C)C=C12
cisplatin,cisplatin,cisplatin,less,cisplatin,N.N.[Cl-].[Cl-].[Pt++]
orbactiv,oritavancin,oritavancin,less,oritavancin,[H][C@]12NC(=O)[C@]([H])(NC(=O)[C@]3([H])NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](NC(=O)[C@@H](CC(C)C)NC)[C@H](O)C4=CC=C(OC5=C(O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O[C@H]6C[C@](C)(NCC7=CC=C(C=C7)C7=CC=C(Cl)C=C7)[C@@H](O)[C@H](C)O6)C(OC6=C(Cl)C=C(C=C6)[C@H]1O[C@H]1C[C@](C)(N)[C@@H](O)[C@H](C)O1)=CC3=C5)C(Cl)=C4)C1=CC(=C(O)C=C1)C1=C(O)C=C(O)C=C1[C@H](NC2=O)C(O)=O
ascor,ascorbic acid,ascorbic acid,no,ascorbic acid,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO
dopram,doxapram hydrochloride,doxapram hydrochloride,most,doxapram hydrochloride,Cl.CCN1CC(CCN2CCOCC2)C(C1=O)(C1=CC=CC=C1)C1=CC=CC=C1
adreview,iobenguane i-123,iobenguane i-123,ambiguous,iobenguane i-123,NC(=N)NCC1=CC([123I])=CC=C1
dapzura rt,daptomycin,daptomycin,less,daptomycin,CCCCCCCCCC(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(N)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](CC(=O)C2=C(N)C=CC=C2)NC(=O)[C@@H](NC(=O)[C@@H](CO)NC(=O)CNC(=O)[C@H](CC(O)=O)NC(=O)[C@@H](C)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCCN)NC(=O)CNC1=O)[C@H](C)CC(O)=O
sodium acetate,sodium acetate,sodium acetate anhydrous,ambiguous,sodium acetate anhydrous,[Na+].CC([O-])=O
rezipres,ephedrine hydrochloride,ephedrine hydrochloride,less,ephedrine hydrochloride,Cl.CN[C@@H](C)[C@H](O)C1=CC=CC=C1
netspot,68ga-dotatate,dotatate,no,dotatate,[H][C@]1(NC(=O)[C@H](CCCCN)NC(=O)[C@@H](CC2=CNC3=CC=CC=C23)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)[C@H](CSSC[C@H](NC1=O)C(=O)N[C@@H]([C@@H](C)O)C(O)=O)NC(=O)[C@@H](CC1=CC=CC=C1)NC(=O)CN1CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC1)[C@@H](C)O
olinvyk,oliceridine,oliceridine,most,oliceridine,COC1=C(CNCC[C@]2(CCOC3(CCCC3)C2)C2=NC=CC=C2)SC=C1
potassium acetate,potassium acetate,potassium acetate,most,potassium acetate,[K+].CC([O-])=O
calcium chloride,calcium chloride,calcium chloride,no,calcium chloride,[Cl-].[Cl-].[Ca++]
choline c 11,choline c-11,choline c-11,no,choline c-11,C[N+](C)([11CH3])CCO
ethyol,amifostine,amifostine,most,amifostine,NCCCNCCSP(O)(O)=O
sodium nitrite,sodium nitrite,sodium nitrite,most,sodium nitrite,[Na+].[O-]N=O
giapreza,angiotensin ii,angiotensin ii,less,angiotensin ii,CC[C@H](C)[C@H](NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H](N)CC(O)=O)C(C)C)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O
kinevac,sincalide,sincalide,less,sincalide,CSCC[C@H](NC(=O)[C@H](CC1=CC=C(OS(O)(=O)=O)C=C1)NC(=O)[C@@H](N)CC(O)=O)C(=O)NCC(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O
zemdri (plazomicin),plazomicin,plazomicin,less,plazomicin,[H][C@]1(O[C@@H]2[C@@H](N)C[C@@H](NC(=O)[C@@H](O)CCN)[C@H](O[C@@]3([H])OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)OC(CNCCO)=CC[C@H]1N
vizamyl,flutemetamol f-18,flutemetamol f-18,less,flutemetamol f-18,CNC1=C([18F])C=C(C=C1)C1=NC2=C(S1)C=C(O)C=C2
chromium,chromic chloride,chromic chloride,no,chromic chloride,Cl[Cr](Cl)Cl
ixempra,ixabepilone,ixabepilone,most,ixabepilone,[H][C@]12C[C@H](NC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@@H](O)[C@@H](C)CCC[C@@]1(C)O2)C(\C)=C\C1=CSC(C)=N1
dextrose,dextrose,dextrose,ambiguous,dextrose,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O
argatroban,argatroban,argatroban,less,argatroban,C[C@@H]1CCN([C@H](C1)C(O)=O)C(=O)[C@H](CCCNC(N)=N)NS(=O)(=O)C1=CC=CC2=C1NCC(C)C2
ic-green,indocyanine green,indocyanine green,no,indocyanine green,[Na+].CC1(C)C(=CC=CC=CC=CC2=[N+](CCCCS([O-])(=O)=O)C3=C(C4=CC=CC=C4C=C3)C2(C)C)N(CCCCS([O-])(=O)=O)C2=C1C1=CC=CC=C1C=C2
yondelis,trabectedin,trabectedin,most,trabectedin,COC1=CC2=C(CCN[C@]22CS[C@H]3[C@H]4[C@@H]5N(C)[C@@H](CC6=C5C(O)=C(OC)C(C)=C6)[C@H](O)N4[C@@H](COC2=O)C2=C3C(OC(C)=O)=C(C)C3=C2OCO3)C=C1O
sodium thiosulfate,sodium thiosulfate,sodium thiosulfate,less,sodium thiosulfate,[Na+].[Na+].[O-]S([S-])(=O)=O
eovist,gadoxetate disodium,gadoxetate disodium,less,gadoxetate disodium,[Gd+3]1234567[O-]C(C[N]1(CC([N]2(CC([O-]3)=O)CC([O-]4)=O)CC1=CC=C(OCC)C=C1)CC[N]5(CC([O-]6)=O)CC([O-]7)=O)=O.[Na+].[Na+]
corlopam,fenoldopam mesylate,fenoldopam mesylate,less,fenoldopam mesylate,CS(O)(=O)=O.OC1=CC=C(C=C1)C1CNCCC2=C(Cl)C(O)=C(O)C=C12
selenious acid,selenious acid,selenium,no,selenium,[Se]
r-gene,arginine hydrochloride,arginine hydrochloride,no,arginine hydrochloride,Cl.N[C@@H](CCCNC(N)=N)C(O)=O
beleodaq,belinostat,belinostat,less,belinostat,ONC(=O)\C=C\C1=CC(=CC=C1)S(=O)(=O)NC1=CC=CC=C1
cardiogen-82,rubidium chloride rb-82,rubidium chloride rb-82,most,rubidium chloride rb-82,Cl[82Rb]
bridion,sugammadex,sugammadex sodium,most,sugammadex sodium,[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[H][C@@]12O[C@H](CSCCC(O)=O)[C@@H](O[C@@]3([H])O[C@H](CSCCC(O)=O)[C@@H](O[C@@]4([H])O[C@H](CSCCC(O)=O)[C@@H](O[C@@]5([H])O[C@H](CSCCC(O)=O)[C@@H](O[C@@]6([H])O[C@H](CSCCC(O)=O)[C@@H](O[C@@]7([H])O[C@H](CSCCC(O)=O)[C@@H](O[C@@]8([H])O[C@H](CSCCC(O)=O)[C@@H](O[C@@]9([H])O[C@H](CSCCC(O)=O)[C@@H](O1)[C@H](O)[C@H]9O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O
veletri,epoprostenol,epoprostenol,less,epoprostenol,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)C[C@@H]2O\C(C[C@H]12)=C/CCCC(O)=O
definity rt,perflutren,perflutren,most,perflutren,FC(F)(F)C(F)(F)C(F)(F)F
ferrlecit,sodium ferric gluconate complex,sodium ferric gluconate complex,less,sodium ferric gluconate complex,[Na+].[Fe+3].OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C([O-])=O
neurolite,bicisate dihydrochloride,bicisate dihydrochloride,less,bicisate dihydrochloride,Cl.Cl.CCOC(=O)[C@H](CS)NCCN[C@@H](CS)C(=O)OCC
folotyn,pralatrexate,pralatrexate,less,pralatrexate,NC1=NC(N)=C2N=C(CC(CC#C)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)C=NC2=N1
chirhostim; chirhostim 40,human secretin,secretin human,no,secretin human,[H]C(NC(=O)CNC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CO)NC(=O)[C@@H](N)CC1=CN=CN1)([C@@H](C)O)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCC(O)=O)C(=O)NCC(=O)N[C@@H](C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(N)=O
alimta,pemetrexed disodium,pemetrexed disodium heptahydrate,less,pemetrexed disodium heptahydrate,O.O.O.O.O.O.O.[Na+].[Na+].NC1=NC(=O)C2=C(NC=C2CCC2=CC=C(C=C2)C(=O)N[C@@H](CCC([O-])=O)C([O-])=O)N1
corvert,ibutilide fumarate,ibutilide fumarate,most,ibutilide fumarate,OC(=O)\C=C\C(O)=O.CCCCCCCN(CC)CCCC(O)C1=CC=C(NS(C)(=O)=O)C=C1.CCCCCCCN(CC)CCCC(O)C1=CC=C(NS(C)(=O)=O)C=C1
eraxis,anidulafungin,anidulafungin,less,anidulafungin,[H][C@@]12C[C@@H](O)CN1C(=O)[C@@]([H])(NC(=O)[C@H](C[C@@H](O)[C@@H](O)NC(=O)[C@]1([H])[C@@H](O)[C@@H](C)CN1C(=O)[C@@]([H])(NC(=O)C(NC2=O)[C@H](O)[C@@H](O)C1=CC=C(O)C=C1)[C@@H](C)O)NC(=O)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC=C(OCCCCC)C=C1)[C@@H](C)O
belrapzo,bendamustine hydrochloride,bendamustine hydrochloride,less,bendamustine hydrochloride,Cl.CN1C(CCCC(O)=O)=NC2=C1C=CC(=C2)N(CCCl)CCCl
foscavir,foscarnet sodium,foscarnet sodium,most,foscarnet sodium,[Na+].[Na+].[Na+].[O-]C(=O)P([O-])([O-])=O
zinc sulfate,zinc sulfate,zinc sulfate,no,zinc sulfate,O.O.O.O.O.O.O.[Zn++].[O-]S([O-])(=O)=O
omniscan,gadodiamide,gadodiamide,less,gadodiamide,[Gd+3].CNC(=O)CN(CCN(CCN(CC([O-])=O)CC(=O)NC)CC([O-])=O)CC([O-])=O
barhemsys,amisulpride,amisulpride,most,amisulpride,CCN1CCCC1CNC(=O)C1=CC(=C(N)C=C1OC)S(=O)(=O)CC
choletec,mebrofenin,mebrofenin,no,mebrofenin,CC1=CC(C)=C(NC(=O)CN(CC(O)=O)CC(O)=O)C(C)=C1Br
teflaro,ceftaroline fosamil,ceftaroline fosamil,less,ceftaroline fosamil,CCO\N=C(/C(=O)N[C@H]1[C@H]2SCC(SC3=NC(=CS3)C3=CC=[N+](C)C=C3)=C(N2C1=O)C([O-])=O)C1=NSC(NP(O)(O)=O)=N1
dopamine hydrochloride,dopamine hydrochloride,dopamine hydrochloride,most,dopamine hydrochloride,Cl.NCCC1=CC=C(O)C(O)=C1
vaprisol dextrose in plastic container,conivaptan hydrochloride,conivaptan hydrochloride,less,conivaptan hydrochloride,Cl.CC1=NC2=C(CCN(C(=O)C3=CC=C(NC(=O)C4=CC=CC=C4C4=CC=CC=C4)C=C3)C3=CC=CC=C23)N1
technetium tc 99m medronate,technetium tc 99m medronate,medronic acid,ambiguous,medronic acid,OP(O)(=O)CP(O)(O)=O
quadramet,samarium sm 153 lexidronam,samarium sm-153 lexidronam pentasodium,less,samarium sm-153 lexidronam pentasodium,[Na+].[Na+].[Na+].[Na+].[Na+].[153Sm+3].[O-]P([O-])(=O)CN(CCN(CP([O-])([O-])=O)CP([O-])([O-])=O)CP([O-])([O-])=O
kyprolis,carfilzomib,carfilzomib,most,carfilzomib,CC(C)C[C@H](NC(=O)[C@H](CCC1=CC=CC=C1)NC(=O)CN1CCOCC1)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]1(C)CO1
amyvid,florbetapir f 18,florbetapir f-18,less,florbetapir f-18,CNC1=CC=C(\C=C\C2=CN=C(OCCOCCOCC[18F])C=C2)C=C1
cyclophosphamide,cyclophosphamide,cyclophosphamide anhydrous,most,cyclophosphamide anhydrous,ClCCN(CCCl)P1(=O)NCCCO1
vancomycin,vancomycin,vancomycin,less,vancomycin,CN[C@H](CC(C)C)C(=O)N[C@@H]1[C@H](O)C2=CC=C(OC3=C(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@H]4C[C@](C)(N)[C@H](O)[C@H](C)O4)C4=CC(=C3)[C@@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N[C@@H]1C3=CC=C(O)C(=C3)C3=C(C=C(O)C=C3O)[C@H](NC(=O)[C@@H](NC1=O)[C@H](O)C1=CC(Cl)=C(O4)C=C1)C(O)=O)C(Cl)=C2
aggrastat,tirofiban,tirofiban hydrochloride,less,tirofiban hydrochloride,O.Cl.CCCCS(=O)(=O)N[C@@H](CC1=CC=C(OCCCCC2CCNCC2)C=C1)C(O)=O
kengreal,cangrelor,cangrelor,no,cangrelor,CSCCNC1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OP(O)(=O)C(Cl)(Cl)P(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC(SCCC(F)(F)F)=N1
torisel,temsirolimus,temsirolimus,less,temsirolimus,CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@H]1OC(=O)C(C)(CO)CO
zanosar,streptozocin,streptozocin,no,streptozocin,CN(N=O)C(=O)N[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)CO
ultiva,remifentanil hydrochloride,remifentanil hydrochloride,less,remifentanil hydrochloride,Cl.CCC(=O)N(C1=CC=CC=C1)C1(CCN(CCC(=O)OC)CC1)C(=O)OC
totect,dexrazoxane hydrochloride,dexrazoxane hydrochloride,ambiguous,dexrazoxane hydrochloride,Cl.C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1
etopophos,etoposide phosphate,etoposide phosphate,no,etoposide phosphate,COC1=CC(=CC(OC)=C1OP(O)(O)=O)[C@H]1[C@@H]2C(COC2=O)C(O[C@@H]2O[C@@H]3CO[C@@H](C)O[C@H]3[C@H](O)[C@H]2O)C2=CC3=C(OCO3)C=C12
jevtana,cabazitaxel,cabazitaxel,ambiguous,cabazitaxel,CO[C@H]1C[C@H]2OC[C@@]2(OC(C)=O)[C@H]2[C@H](OC(=O)C3=CC=CC=C3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)C4=CC=CC=C4)C(C)=C([C@@H](OC)C(=O)[C@]12C)C3(C)C
gallium,gallium citrate ga-67,gallium citrate ga-67,no,gallium citrate ga-67,[67Ga+3].OC(CC([O-])=O)(CC([O-])=O)C([O-])=O
sodium chloride,sodium chloride,sodium chloride,ambiguous,sodium chloride,[Na+].[Cl-]
multihance,gadobenate dimeglumine,gadobenate dimeglumine,most,gadobenate dimeglumine,[H+].[H+].[Gd+3].CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[O-]C(=O)CN(CCN(CC([O-])=O)CC([O-])=O)CCN(CC([O-])=O)C(COCC1=CC=CC=C1)C([O-])=O
datscan,ioflupane i-123,ioflupane i-123,no,ioflupane i-123,COC(=O)[C@@H]1[C@H]2CC[C@@H](C[C@@H]1C1=CC=C([123I])C=C1)N2CCCF
myoview,tetrofosmin,tetrofosmin,less,tetrofosmin,CCOCCP(CCOCC)CCP(CCOCC)CCOCC
thallous chloride tl 201,thallous chloride tl-201,thallous chloride tl-201,ambiguous,thallous chloride tl-201,[Cl-].[Tl+]
drax exametazime,kit for the preparation of technetium tc 99m exametazime for leukocyte labeling,technetium tc-99m exametazime,less,technetium tc-99m exametazime,O=[99Tc+3].C[C@@H]([N-]CC(C)(C)C[N-][C@H](C)C(\C)=N\[O-])C(\C)=N\O
nipent,pentostatin,pentostatin,less,pentostatin,OC[C@H]1O[C@H](C[C@@H]1O)N1C=NC2=C1NC=NC[C@H]2O
pylarify,piflufolastat f-18,piflufolastat f-18,no,piflufolastat f-18,OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)C1=CN=C(F)C=C1)C(O)=O)C(O)=O
axumin,fluciclovine f-18,fluciclovine f-18,no,fluciclovine f-18,N[C@]1(C[C@H]([18F])C1)C(O)=O
acetaminophen,acetaminophen,acetaminophen,less,acetaminophen,CC(=O)NC1=CC=C(O)C=C1
dalvance,dalbavancin,dalbavancin hydrochloride,no,dalbavancin hydrochloride,Cl.[H][C@]12NC(=O)[C@]([H])(NC(=O)[C@]3([H])NC(=O)[C@@]4([H])NC(=O)[C@]([H])(NC(=O)[C@H](NC)C5=CC(OC6=CC4=C(Cl)C(O)=C6)=C(O)C=C5)C4=CC=C(OC5=CC3=CC(OC3=CC=C(C=C3Cl)[C@H]1O)=C5O[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1NC(=O)CCCCCCCCC(C)C)C(O)=O)C=C4)C1=CC=C(O)C(=C1)C1=C(O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)C=C(O)C=C1[C@]([H])(NC2=O)C(=O)NCCCN(C)C
glofil-125,sodium iothalamate i-125 injection,iothalamate sodium i-125,no,iothalamate sodium i-125,[Na+].CNC(=O)C1=C([125I])C(NC(C)=O)=C([125I])C(C([O-])=O)=C1[125I]
lexiscan(r) (regadenoson),lexiscan(r) (regadenoson),regadenoson,most,regadenoson,CNC(=O)C1=CN(N=C1)C1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(N)=N1
zepzelca,lurbinectedin,lurbinectedin,no,lurbinectedin,COC1=CC2=C(NC3=C2CCN[C@]32CS[C@H]3[C@H]4[C@@H]5N(C)[C@@H](CC6=C5C(O)=C(OC)C(C)=C6)[C@H](O)N4[C@@H](COC2=O)C2=C4OCOC4=C(C)C(OC(C)=O)=C32)C=C1
fluorodopa f18,fluorodopa f18,fluorodopa f-18,no,fluorodopa f-18,N[C@@H](CC1=CC(O)=C(O)C=C1[18F])C(O)=O
ellence,epirubicin hydrochloride,epirubicin hydrochloride,most,epirubicin hydrochloride,Cl.[H][C@@]1(C[C@@](O)(CC2=C(O)C3=C(C(O)=C12)C(=O)C1=C(C=CC=C1OC)C3=O)C(=O)CO)O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1
sodium citrate,anticoagulant sodium citrate solution,sodium citrate,no,sodium citrate,[Na+].[Na+].[Na+].OC(CC([O-])=O)(CC([O-])=O)C([O-])=O
ultratag rbc,technetium tc 99m-labeled red blood cells,stannous chloride,no,stannous chloride,[Cl-].[Cl-].[Sn++]
gadavist,gadobutrol,gadobutrol,less,gadobutrol,[Gd+3].OC[C@@H](O)[C@@H](CO)N1CCN(CC([O-])=O)CCN(CC([O-])=O)CCN(CC([O-])=O)CC1
cleviprex,clevipidine,clevidipine,less,clevidipine,CCCC(=O)OCOC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC(Cl)=C1Cl)C(=O)OC
alfentanil hydrochloride,alfentanil hydrochloride,alfentanil hydrochloride,less,alfentanil hydrochloride,Cl.CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O
precedex,dexmedetomidine hydrochloride,dexmedetomidine hydrochloride,most,dexmedetomidine hydrochloride,Cl.C[C@H](C1=CN=CN1)C1=CC=CC(C)=C1C
asclera,polidocanol,polidocanol,most,polidocanol,"CCCCCCCCCCCCOCCO |lp:12:2,15:2,Sg:n:14,13,12::ht|"
atropine sulfate; atropine sulfate,atropine sulfate,atropine sulfate,less,atropine sulfate,O.OS(O)(=O)=O.[H][C@@]12CC[C@]([H])(CC([H])(C1)OC(=O)C(CO)C1=CC=CC=C1)N2C.[H][C@@]12CC[C@]([H])(CC([H])(C1)OC(=O)C(CO)C1=CC=CC=C1)N2C
cytovene iv,ganciclovir sodium,ganciclovir sodium,less,ganciclovir sodium,[Na+].NC1=NC2=C(N=CN2COC(CO)CO)C([O-])=N1
tham,tromethamine,tromethamine,no,tromethamine,NC(CO)(CO)CO
prohance,gadoteridol,gadoteridol,less,gadoteridol,[Gd+3].CC(O)CN1CCN(CC([O-])=O)CCN(CC([O-])=O)CCN(CC([O-])=O)CC1
propofol,propofol,propofol,most,propofol,CC(C)C1=CC=CC(C(C)C)=C1O
levoleucovorin,levoleucovorin,levoleucovorin calcium pentahydrate,no,levoleucovorin calcium pentahydrate,O.O.O.O.O.[Ca++].NC1=NC(=O)C2=C(NC[C@H](CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC([O-])=O)C([O-])=O)N2C=O)N1
caspofungin acetate,caspofungin acetate,caspofungin acetate,less,caspofungin acetate,CC(O)=O.CC(O)=O.[H][C@@]12C[C@@H](O)CN1C(=O)C(NC(=O)[C@H](C[C@@H](O)[C@H](NCCN)NC(=O)[C@]1([H])[C@@H](O)CCN1C(=O)[C@@]([H])(NC(=O)C(NC2=O)[C@H](O)[C@@H](O)C1=CC=C(O)C=C1)[C@H](O)CCN)NC(=O)CCCCCCCC[C@@H](C)C[C@@H](C)CC)[C@@H](C)O
esmolol hydrochloride,esmolol hydrochloride,esmolol hydrochloride,most,esmolol hydrochloride,Cl.COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1
ifosfamide,ifosfamide,ifosfamide,most,ifosfamide,ClCCNP1(=O)OCCCN1CCCl
pancuronium bromide,pancuronium bromide,pancuronium bromide,ambiguous,pancuronium bromide,[Br-].[Br-].[H][C@@]1(C[C@@]2([H])[C@]3([H])CC[C@@]4([H])C[C@H](OC(C)=O)[C@]([H])(C[C@]4(C)C3CC[C@]2(C)[C@H]1OC(C)=O)[N+]1(C)CCCCC1)[N+]1(C)CCCCC1
mitoxantrone,mitoxantrone,mitoxantrone hydrochloride,most,mitoxantrone hydrochloride,Cl.Cl.OCCNCCNC1=CC=C(NCCNCCO)C2=C1C(=O)C1=C(C(O)=CC=C1O)C2=O
carmustine,carmustine,carmustine,less,carmustine,ClCCNC(=O)N(CCCl)N=O
gemcitabine,gemcitabine,gemcitabine hydrochloride,less,gemcitabine hydrochloride,Cl.NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F
